Titre;Date_debut;Date_fin;Lieu;Description
R1.12 Présoutenance;20231206T090000Z;20231206T110000Z;G_011_AMPHI;\n\nRT1-TD B\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231120T090000Z;20231120T110000Z;D_024;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231016T080000Z;20231016T100000Z;D_110;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.07 TP;20231213T130000Z;20231213T150000Z;G_019;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 soutenance;20231128T080000Z;20231128T110000Z;D_032;\n\nRT1-TD A\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TD;20231024T100000Z;20231024T110000Z;G_012;\n\nRT1-TD B\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.06 2H;20230927T140000Z;20230927T160000Z;D_024;\n\nRT1-TD A\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.11;20240126T090000Z;20240126T103000Z;D_024;\n\nRT1-TP B1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231212T130000Z;20231212T160000Z;G_007;\n\nRT1-TP B2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231025T120000Z;20231025T140000Z;D_024;\n\nRT1-TP A1\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
R1.07 TD 2H;20230915T080000Z;20230915T100000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.05;20240110T130000Z;20240110T150000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231006T060000Z;20231006T080000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
